KIC,MSE
1849235,0.0005051951718400253
3424493,8.38353404529866e-06
3648131,3.986775750935869e-06
3965879,1.587535976637762e-05
4072890,1.8461488781629555e-07
8264404,1.374041512593399e-05
8330102,1.7163865697114557e-05
8453431,1.0292787160940167e-05
8493159,0.0002753860073464949
8585472,6.921414063530273e-06
8845312,3.877857392343062e-05
9050337,1.278727798320224e-06
4544967,1.0622016895593846e-06
4569150,1.5658818124683432e-05
4577647,0.00011964591247955312
4940217,5.847455076524357e-05
5108514,2.7747060777765386e-05
5358323,7.794392528478945e-07
5900260,1.8381268243517577e-06
9051991,5.140571801742971e-05
9306095,0.0011878573743871108
9368220,5.086116859453627e-05
9368524,0.0001359724427396588
9649801,4.628201421956988e-06
9716523,4.535966115591307e-06
9773512,3.2770021002018587e-06
6032172,2.5139806136521466e-06
