KIC,MSE,Composite Function
2581626,4.395606488288964e-05,f(t) = 0.0078 * sin(2π * 5.3587 * t + 4.6138) + 0.0818 + 0.0719 * sin(2π * 18.1397 * t + -2.4404) + 0.7565 + 0.0157 * sin(2π * 23.4985 * t + -6.2832) + 0.1658
2972514,0.0005448614071705592,f(t) = 0.0233 * sin(2π * 1.9863 * t + -5.4351) + 0.0798 + 0.2031 * sin(2π * 3.9723 * t + -1.0573) + 0.6967 + 0.0508 * sin(2π * 7.9446 * t + -6.2832) + 0.1742
3119295,0.00020874276018315903,f(t) = 0.0226 * sin(2π * 2.2744 * t + -1.7001) + 0.1058 + 0.1545 * sin(2π * 4.5486 * t + -0.6793) + 0.7225 + 0.0301 * sin(2π * 9.0972 * t + -6.2832) + 0.1409
3953144,1.1350824914227163e-05,f(t) = 0.0014 * sin(2π * 9.0579 * t + -6.2832) + 0.0895 + 0.0076 * sin(2π * 9.8472 * t + 4.6342) + 0.4929 + 0.0033 * sin(2π * 15.1113 * t + 3.1887) + 0.2129 + 0.0014 * sin(2π * 15.5117 * t + -6.2832) + 0.0938 + 0.0017 * sin(2π * 18.3371 * t + -6.2832) + 0.1110
4036687,0.00042752690711293627,f(t) = 0.1254 * sin(2π * 6.6717 * t + 6.2832) + 0.9870
4066203,1.3091828308026427e-05,f(t) = 0.0035 * sin(2π * 2.7586 * t + 3.5867) + 0.1196 + 0.0258 * sin(2π * 5.5165 * t + -4.6934) + 0.8805
4243668,7.03208278303732e-06,f(t) = 0.0030 * sin(2π * 2.6082 * t + -6.2832) + 0.2928 + 0.0073 * sin(2π * 5.2215 * t + -3.7902) + 0.7070
4374279,9.07575133581655e-05,f(t) = 0.0641 * sin(2π * 5.8951 * t + -3.8286) + 0.9946
4466691,0.00015981963475865838,f(t) = 0.0227 * sin(2π * 2.0720 * t + 3.9219) + 0.2593 + 0.0581 * sin(2π * 4.1443 * t + 6.2832) + 0.6628 + 0.0062 * sin(2π * 8.2880 * t + -6.1175) + 0.0703
4547067,6.27900918494547e-06,f(t) = 0.0043 * sin(2π * 2.4535 * t + -0.1831) + 0.1774 + 0.0200 * sin(2π * 4.9071 * t + -6.2832) + 0.8225
4651526,0.0001752927992242666,f(t) = 0.0070 * sin(2π * 3.3406 * t + -5.8609) + 0.1326 + 0.0456 * sin(2π * 6.7086 * t + 6.2832) + 0.8667
4995588,1.5318303333456129e-06,f(t) = 0.0032 * sin(2π * 23.1545 * t + -0.8713) + 0.4203 + 0.0044 * sin(2π * 23.7492 * t + -0.3338) + 0.5797
5027750,5.1816864998279935e-06,f(t) = 0.0029 * sin(2π * 11.7099 * t + -6.2832) + 1.0000
5284701,9.214891437350259e-07,f(t) = 0.0009 * sin(2π * 19.3325 * t + 0.5407) + 0.3714 + 0.0005 * sin(2π * 23.2792 * t + 5.2236) + 0.2338 + 0.0009 * sin(2π * 24.4501 * t + 6.2832) + 0.3948
5286485,7.479217476934215e-07,f(t) = 0.0049 * sin(2π * 7.6790 * t + -6.2832) + 0.4666 + 0.0057 * sin(2π * 10.0908 * t + 6.2832) + 0.5335
5353653,1.2406073682306084e-05,f(t) = 0.0030 * sin(2π * 2.7136 * t + 6.2832) + 0.1882 + 0.0131 * sin(2π * 5.4266 * t + 1.2331) + 0.8118
5357882,6.685618587634009e-05,f(t) = 0.0049 * sin(2π * 2.5318 * t + -6.2832) + 0.1269 + 0.0335 * sin(2π * 5.1627 * t + 6.2832) + 0.8733
5534340,8.43890009732684e-05,f(t) = 0.0018 * sin(2π * 5.4608 * t + -6.2832) + 0.0854 + 0.0127 * sin(2π * 6.0199 * t + -3.4192) + 0.6003 + 0.0015 * sin(2π * 7.6971 * t + 0.4411) + 0.0703 + 0.0021 * sin(2π * 9.8275 * t + -4.0610) + 0.0999 + 0.0031 * sin(2π * 10.8214 * t + -3.0161) + 0.1444
5707205,2.907947332606431e-06,f(t) = 0.0008 * sin(2π * 8.3182 * t + 2.6840) + 0.0464 + 0.0015 * sin(2π * 8.8000 * t + -1.0389) + 0.0909 + 0.0041 * sin(2π * 9.6490 * t + 4.6503) + 0.2443 + 0.0011 * sin(2π * 10.6048 * t + -0.1017) + 0.0638 + 0.0040 * sin(2π * 10.9591 * t + -5.5532) + 0.2355 + 0.0016 * sin(2π * 13.0461 * t + -6.2832) + 0.0921 + 0.0014 * sin(2π * 13.6022 * t + -6.2832) + 0.0848 + 0.0007 * sin(2π * 13.9085 * t + -6.2832) + 0.0389 + 0.0018 * sin(2π * 16.3903 * t + -6.2832) + 0.1034
5788165,1.0320408755486022e-06,f(t) = 0.0009 * sin(2π * 17.8743 * t + -6.2832) + 1.0000
6304420,5.768083107198354e-07,f(t) = 0.0015 * sin(2π * 16.9617 * t + 2.6417) + 0.4148 + 0.0021 * sin(2π * 18.5343 * t + -2.1461) + 0.5852
6442207,0.00029954152265856466,f(t) = 0.0159 * sin(2π * 2.2040 * t + 1.4147) + 0.0862 + 0.1397 * sin(2π * 4.4077 * t + 6.2832) + 0.7554 + 0.0249 * sin(2π * 8.8149 * t + -6.2832) + 0.1345
6444630,0.00012276353586571198,f(t) = 0.0082 * sin(2π * 3.0178 * t + -6.2832) + 0.1612 + 0.0426 * sin(2π * 6.0304 * t + -1.5655) + 0.8392
